period_date,ae_type_1_attendances,ae_type_2_attendances,ae_type_3_attendances,ae_total_attendances,emergency_admissions_via_type_1_ae,emergency_admissions_via_type_2_ae,emergency_admissions_via_type_3_4_ae,emergency_admissions_via_ae,other_emergency_admissions,total_emergency_admissions,dta_waits_over_4h,dta_waits_over_12h,operational_standard
2021-06-01,1436111.0,39162.0,681859.0,2157132.0,401052.0,1444.0,5423.0,407919.0,127483.0,535402.0,66621.0,1289.0,
2021-07-01,1430733.0,39313.0,690082.0,2160128.0,402085.0,1323.0,7160.0,410568.0,122144.0,532712.0,89762.0,2208.0,
2021-08-01,1341757.0,39864.0,654346.0,2035967.0,381911.0,1325.0,5555.0,388791.0,115095.0,503886.0,96008.0,2787.0,
2021-09-01,1392405.0,40503.0,694296.0,2127204.0,379118.0,1296.0,5309.0,385723.0,121363.0,507086.0,104873.0,5024.0,
2021-10-01,1419010.0,39701.0,706091.0,2164802.0,389169.0,1176.0,5363.0,395708.0,121475.0,517183.0,121250.0,7058.0,
2021-11-01,1336830.0,39025.0,662100.0,2037955.0,374964.0,1246.0,5298.0,381508.0,124734.0,506242.0,120744.0,10646.0,
2021-12-01,1250568.0,34913.0,589161.0,1874642.0,370950.0,1881.0,7133.0,379964.0,119091.0,499055.0,120131.0,12859.0,
2022-01-01,1247417.0,36557.0,591228.0,1875202.0,358968.0,1204.0,5320.0,365492.0,119460.0,484952.0,122433.0,16564.0,
2022-02-01,1205820.0,37970.0,581573.0,1825363.0,334835.0,1087.0,5275.0,341197.0,118755.0,459952.0,114908.0,16402.0,
2022-03-01,1421526.0,41910.0,711362.0,2174798.0,374562.0,1258.0,5728.0,381548.0,132707.0,514255.0,136298.0,22506.0,
2022-04-01,1312380.0,37898.0,678518.0,2028796.0,352982.0,1156.0,5793.0,359931.0,119848.0,479779.0,131604.0,24179.0,
2022-05-01,1437421.0,41874.0,753758.0,2233053.0,377496.0,1276.0,6015.0,384787.0,132924.0,517711.0,125318.0,19657.0,
2022-06-01,1400664.0,40910.0,750117.0,2191691.0,366684.0,1265.0,5979.0,373928.0,129120.0,503048.0,130357.0,22017.0,
2022-07-01,1397083.0,39632.0,744940.0,2181655.0,362027.0,1198.0,6144.0,369369.0,127730.0,497099.0,135819.0,29139.0,
2022-08-01,1299083.0,40802.0,655794.0,1995679.0,350562.0,1307.0,5219.0,357088.0,124921.0,482009.0,130148.0,28690.0,
2022-09-01,1301611.0,40188.0,666690.0,2008489.0,353779.0,1325.0,5653.0,360757.0,126720.0,487477.0,131572.0,32762.0,
2022-10-01,1399185.0,41440.0,747403.0,2188028.0,367028.0,1411.0,6302.0,374741.0,132106.0,506847.0,150786.0,43793.0,
2022-11-01,1395183.0,42644.0,740977.0,2178804.0,368997.0,1558.0,6271.0,376826.0,138699.0,515525.0,143672.0,37853.0,
2022-12-01,1437681.0,36592.0,819806.0,2294079.0,378202.0,1359.0,6171.0,385732.0,131712.0,517444.0,170121.0,54573.0,
2023-01-01,1243898.0,42076.0,682364.0,1968338.0,364353.0,1464.0,5386.0,371203.0,137576.0,508779.0,142210.0,42767.0,
2023-02-01,1206386.0,41717.0,666176.0,1914279.0,339726.0,1403.0,4993.0,346122.0,126734.0,472856.0,126947.0,34975.0,
2023-03-01,1372403.0,46803.0,746745.0,2165951.0,381708.0,1461.0,5198.0,388367.0,143724.0,532091.0,144308.0,39687.0,
2023-04-01,1271145.0,42632.0,720263.0,2034040.0,363625.0,1340.0,5150.0,370115.0,120358.0,490473.0,113083.0,26492.0,
2023-05-01,1400815.0,45826.0,799278.0,2245919.0,388202.0,1338.0,5548.0,395088.0,133847.0,528935.0,122427.0,31498.0,
2023-06-01,1389009.0,46196.0,790521.0,2225726.0,381815.0,1403.0,4754.0,387972.0,134751.0,522723.0,113791.0,26488.0,
2023-07-01,1379854.0,45513.0,774420.0,2199787.0,391312.0,1383.0,7719.0,400414.0,134268.0,534682.0,108240.0,23396.0,
2023-08-01,1323647.0,43923.0,742291.0,2109861.0,384233.0,1403.0,4206.0,389842.0,134039.0,523881.0,118962.0,27710.0,
2023-09-01,1369045.0,42631.0,758370.0,2170046.0,383234.0,1325.0,4372.0,388931.0,132297.0,521228.0,124956.0,32228.0,
2023-10-01,1413597.0,44769.0,765954.0,2224320.0,401524.0,1431.0,4386.0,407341.0,139530.0,546871.0,143850.0,43534.0,
2023-11-01,1386008.0,42365.0,739211.0,2167584.0,396755.0,1452.0,4319.0,402526.0,142117.0,544643.0,145934.0,42503.0,
2023-12-01,1384220.0,39282.0,761416.0,2184918.0,406833.0,1327.0,4164.0,412324.0,133819.0,546143.0,148105.0,43858.0,
2024-01-01,1397975.0,42835.0,790015.0,2230825.0,403208.0,1399.0,4561.0,409168.0,147086.0,556254.0,158735.0,54312.0,
